run,total_resistance,path_length,tortuosity,max_lateral_deviation,net_drift,avg_dev_from_start,fractal_dimension,zero_cost_ratio
386,131,67,1.34,7,5,1.597,0.9496,0.3485
387,126,66,1.32,4,0,0.864,1.0934,0.3846
388,131,64,1.28,7,-4,3.094,0.9274,0.3016
389,122,69,1.38,6,-1,1.551,0.8829,0.3676
390,124,73,1.46,12,9,4.041,1.0104,0.3472
391,126,69,1.38,12,11,3.014,1.037,0.2941
392,123,66,1.32,6,6,2.455,1.0326,0.2615
393,130,67,1.34,11,9,5.716,1.0198,0.2273
394,128,72,1.44,9,2,3.222,0.9913,0.3662
395,130,67,1.34,5,5,2.97,0.8694,0.2121
396,120,71,1.42,8,-1,2.338,0.9981,0.3429
397,116,62,1.24,5,2,1.758,0.9183,0.3607
398,130,70,1.4,8,4,1.9,1.0347,0.3478
399,125,67,1.34,10,7,3.119,0.9072,0.3182
400,125,60,1.2,2,0,0.833,1.0456,0.2203
401,125,75,1.5,9,5,4.667,0.9647,0.3514
402,121,72,1.44,7,0,1.903,1.121,0.3239
403,115,70,1.4,10,0,2.529,0.9759,0.4058
404,135,71,1.42,16,13,8.366,0.9979,0.2857
405,121,70,1.4,7,-2,2.571,0.9961,0.3623
406,122,68,1.36,5,4,2.956,0.8315,0.2985
407,129,68,1.36,10,-10,5.456,1.0307,0.2687
408,134,71,1.42,16,13,8.338,0.9939,0.3143
409,127,64,1.28,4,2,0.953,0.9538,0.254
410,121,65,1.3,8,-3,2.031,1.0021,0.3438
411,128,67,1.34,13,13,6.09,0.9645,0.303
412,120,62,1.24,5,2,0.903,1.0341,0.2295
413,132,66,1.32,7,4,2.045,1.0668,0.3231
414,120,64,1.28,6,2,3.453,1.0578,0.1746
415,116,66,1.32,5,0,1.212,1.0849,0.2462
416,127,67,1.34,9,9,3.164,1.0155,0.3182
417,125,72,1.44,5,0,1.639,0.9088,0.3944
418,120,73,1.46,16,11,9.205,0.9526,0.3472
419,121,74,1.48,15,-12,3.149,0.955,0.3288
420,122,62,1.24,5,-2,1.597,0.9353,0.3279
421,137,66,1.32,7,-6,4.288,1.0904,0.3846
422,127,72,1.44,8,-2,3.125,1.0122,0.3099
423,127,67,1.34,11,9,5.09,1.0198,0.2879
424,129,68,1.36,15,12,3.926,0.9171,0.2388
425,129,72,1.44,8,0,1.458,0.9893,0.338
426,133,67,1.34,5,1,0.985,1.0243,0.3182
427,124,74,1.48,14,-8,9.108,0.9624,0.3151
428,126,66,1.32,6,-2,1.106,1.0087,0.3231
429,130,72,1.44,11,6,7.167,1.0632,0.2817
430,135,66,1.32,8,8,5.621,0.9668,0.3846
431,127,70,1.4,7,-4,2.471,0.9297,0.3768
432,130,68,1.36,6,2,2.103,0.8732,0.2985
433,131,71,1.42,6,5,3.113,0.9613,0.3571
434,118,70,1.4,9,-8,2.757,1.0481,0.3333
435,130,73,1.46,12,-9,2.74,0.9719,0.3333
436,125,67,1.34,8,-5,4.448,1.0158,0.2424
437,127,75,1.5,9,1,4.413,1.0219,0.3649
438,119,65,1.3,6,1,2.246,0.9557,0.2969
