run,total_resistance,path_length,tortuosity,max_lateral_deviation,net_drift,avg_dev_from_start,fractal_dimension,zero_cost_ratio
51,0,82,1.64,12,-4,2.878,1.004,1.0
52,0,78,1.56,9,-4,3.769,1.0972,1.0
53,0,80,1.6,15,14,7.325,1.0571,1.0
54,0,83,1.66,16,13,5.578,1.076,1.0
55,0,89,1.78,15,-5,4.382,0.9575,1.0
56,0,72,1.44,12,-10,3.653,0.9544,1.0
57,0,81,1.62,14,7,4.432,1.1254,1.0
58,0,89,1.78,15,-9,4.753,0.9579,1.0
59,0,76,1.52,9,-8,4.303,0.9325,1.0
60,10,81,1.62,9,-9,5.222,1.0241,0.9875
61,0,86,1.72,13,8,5.965,1.0805,1.0
62,10,78,1.56,8,0,1.308,1.0468,0.987
63,0,86,1.72,15,-10,3.663,0.9769,1.0
64,0,78,1.56,8,8,3.41,0.9439,1.0
65,0,89,1.78,14,-5,3.82,1.0085,1.0
66,0,87,1.74,20,-13,7.448,1.0923,1.0
67,0,77,1.54,13,11,4.377,1.0838,1.0
68,0,80,1.6,12,6,3.775,0.9661,1.0
69,0,87,1.74,13,7,4.299,1.0299,1.0
70,0,65,1.3,6,-5,1.415,1.0067,1.0
71,10,96,1.92,21,-4,7.844,1.0822,0.9895
72,10,70,1.4,6,0,2.457,1.0388,0.9855
73,10,92,1.84,10,-2,1.652,1.1294,0.989
74,0,89,1.78,12,9,6.18,1.0772,1.0
75,0,71,1.42,12,9,5.296,0.9443,1.0
76,0,158,3.16,40,6,12.418,1.0729,1.0
77,0,80,1.6,16,10,6.8,1.0,1.0
78,0,76,1.52,11,-6,3.895,1.0673,1.0
79,0,75,1.5,7,3,2.04,0.8858,1.0
80,0,83,1.66,12,-11,6.012,1.0159,1.0
81,0,99,1.98,13,-5,3.242,1.0635,1.0
82,0,87,1.74,11,-1,2.839,1.0819,1.0
83,0,81,1.62,23,-23,10.074,1.0089,1.0
84,0,81,1.62,27,-27,13.136,1.0019,1.0
85,0,77,1.54,15,-15,9.247,0.9422,1.0
86,0,87,1.74,13,1,4.345,1.0467,1.0
87,0,84,1.68,21,20,12.429,1.0285,1.0
88,0,81,1.62,12,-5,8.0,0.9127,1.0
89,0,73,1.46,10,-3,4.562,1.006,1.0
90,0,105,2.1,28,-15,7.419,1.0388,1.0
91,0,81,1.62,14,7,3.469,1.1057,1.0
92,0,93,1.86,14,-7,5.624,1.1252,1.0
93,20,100,2.0,40,-38,20.02,1.012,0.9798
94,10,96,1.92,19,8,4.24,1.0411,0.9895
95,0,87,1.74,21,13,10.287,0.9608,1.0
96,0,77,1.54,13,11,7.74,0.8901,1.0
97,10,86,1.72,15,-8,3.849,0.9763,0.9882
98,0,79,1.58,10,-3,2.772,0.9909,1.0
99,10,78,1.56,10,4,2.449,0.9928,0.987
100,0,102,2.04,25,-22,9.912,1.0607,1.0
101,10,79,1.58,10,-3,2.076,0.9983,0.9872
102,0,81,1.62,19,13,6.802,0.9786,1.0
103,0,74,1.48,18,18,11.203,1.0119,1.0
104,0,86,1.72,13,6,2.384,1.0913,1.0
105,0,96,1.92,16,6,4.167,1.0472,1.0
106,0,83,1.66,12,-1,2.566,0.9851,1.0
107,10,92,1.84,17,-10,6.0,1.0605,0.989
108,0,86,1.72,14,6,7.756,0.983,1.0
109,0,103,2.06,18,-7,4.456,1.0712,1.0
110,0,78,1.56,12,8,2.782,0.9968,1.0
111,0,73,1.46,15,13,4.658,0.9565,1.0
112,10,81,1.62,19,17,7.63,1.0477,0.9875
113,0,132,2.64,26,-8,15.167,0.9849,1.0
114,0,79,1.58,23,-23,12.797,0.9983,1.0
115,10,87,1.74,5,1,2.034,0.9191,0.9884
116,0,72,1.44,7,-4,1.639,0.9881,1.0
117,0,92,1.84,20,-12,8.761,0.9438,1.0
118,0,92,1.84,12,-4,6.935,1.0225,1.0
119,0,81,1.62,4,3,1.938,1.1845,1.0
120,0,86,1.72,15,-12,6.651,1.1279,1.0
121,0,67,1.34,8,3,2.388,0.9601,1.0
122,0,85,1.7,19,-13,11.106,1.0718,1.0
123,0,80,1.6,10,-2,2.05,1.0496,1.0
124,0,79,1.58,8,-7,1.924,1.1072,1.0
125,0,85,1.7,11,-1,3.424,1.0414,1.0
126,0,84,1.68,20,-14,6.083,0.9012,1.0
127,10,78,1.56,9,2,1.538,0.9698,0.987
128,0,80,1.6,7,0,1.388,1.0082,1.0
129,0,105,2.1,43,-43,19.286,1.0537,1.0
130,0,67,1.34,5,-1,1.119,1.0391,1.0
131,0,86,1.72,10,2,2.64,1.012,1.0
132,0,87,1.74,13,3,2.966,1.0923,1.0
133,0,81,1.62,11,-5,2.259,0.9987,1.0
134,0,106,2.12,23,-20,13.925,1.0028,1.0
135,0,93,1.86,15,-9,3.355,1.0272,1.0
136,0,79,1.58,13,-7,7.139,0.9983,1.0
137,0,78,1.56,22,-20,7.295,1.0386,1.0
138,0,74,1.48,9,-4,4.162,0.9518,1.0
139,0,95,1.9,10,-3,4.242,1.1331,1.0
140,0,84,1.68,14,6,2.869,1.0356,1.0
141,0,79,1.58,5,5,2.962,1.1737,1.0
142,0,77,1.54,9,3,3.221,1.0842,1.0
143,0,74,1.48,10,-6,3.689,0.9829,1.0
144,0,73,1.46,7,-5,2.575,1.137,1.0
145,0,72,1.44,6,0,2.861,1.113,1.0
146,0,86,1.72,26,26,12.209,1.0387,1.0
147,0,81,1.62,16,5,8.951,0.9712,1.0
