p0,p10,tortuosity,resistance
0.38151263178397204,0.6184873682160279,1.72,100
0.14023704333048634,0.8597629566695136,1.35,550
0.6059028355766347,0.3940971644233653,1.3,0
0.522266954535933,0.47773304546406703,1.58,0
0.3084656910590253,0.6915343089409747,1.7,190
0.3661912262484361,0.6338087737515639,1.75,100
0.850544255518333,0.14945574448166699,1.04,0
0.39307346159005774,0.6069265384099423,1.93,60
0.48857683334268176,0.5114231666573182,1.93,0
0.28624753699084476,0.7137524630091552,1.66,230
0.5399617958355114,0.4600382041644886,1.43,0
0.570606893946404,0.42939310605359604,1.35,0
0.4968358626571079,0.5031641373428921,1.8,0
0.7501577830363694,0.24984221696363063,1.13,0
0.6426185058410238,0.35738149415897624,1.26,0
0.329327316371176,0.6706726836288239,1.6,140
0.489022087594025,0.510977912405975,1.87,0
0.16180357804782367,0.8381964219521764,1.6,460
0.42305153123176853,0.5769484687682315,1.76,50
0.3908171376661376,0.6091828623338624,1.84,90
0.720957158914457,0.279042841085543,1.15,0
0.2971841684072287,0.7028158315927713,1.49,220
0.7264099953041234,0.2735900046958766,1.15,0
0.12231211864329393,0.8776878813567061,1.27,580
0.533544405211269,0.466455594788731,1.39,0
0.27399781605783646,0.7260021839421635,1.89,250
0.838698994128477,0.16130100587152296,1.04,0
0.34337115115965944,0.6566288488403406,1.74,150
0.4415398457113338,0.5584601542886662,1.87,30
0.4031275009804405,0.5968724990195595,1.97,50
0.2483782661137152,0.7516217338862848,1.48,300
0.2269653348176779,0.7730346651823221,1.57,320
0.7803117546470388,0.21968824535296116,1.08,0
0.8442524023992848,0.15574759760071522,1.03,0
0.7392589170966467,0.2607410829033533,1.12,0
0.8709611280686248,0.1290388719313752,1.04,0
0.5959938082114905,0.4040061917885095,1.29,0
0.3429357330797115,0.6570642669202885,1.52,160
0.2651544139237954,0.7348455860762046,1.58,300
0.818522124998145,0.18147787500185497,1.06,0
0.7877685162967505,0.2122314837032495,1.08,0
0.3298467348739741,0.6701532651260259,1.87,170
0.5947123291615916,0.40528767083840844,1.3,0
0.651192558395678,0.348807441604322,1.22,0
0.7201348763232752,0.2798651236767248,1.15,0
0.3026383715005035,0.6973616284994966,1.68,220
0.7444865612945719,0.2555134387054281,1.13,0
0.636796005182263,0.363203994817737,1.22,0
0.21866411470898328,0.7813358852910167,1.65,350
0.2435513213382226,0.7564486786617775,1.53,330
0.6454247075147898,0.35457529248521025,1.23,0
0.7172720850740972,0.28272791492590277,1.14,0
0.605874095893324,0.39412590410667603,1.32,0
0.6259647527933344,0.3740352472066656,1.26,0
0.15793080131286752,0.8420691986871325,1.7,490
0.8471622540084206,0.1528377459915794,1.04,0
0.20124729702565525,0.7987527029743448,1.58,380
0.51026274691319,0.48973725308681004,1.86,0
0.7910103853744467,0.20898961462555332,1.07,0
0.8598790656632167,0.1401209343367833,1.01,0
0.15796445145867344,0.8420355485413266,1.41,460
0.33063985889285946,0.6693601411071406,1.6,130
0.8131647653794465,0.18683523462055351,1.08,0
0.7084331893598876,0.29156681064011236,1.14,0
0.26267453205905794,0.737325467940942,1.47,290
0.8758834692350148,0.12411653076498519,1.02,0
0.745567890668832,0.254432109331168,1.14,0
0.10857305909198188,0.8914269409080181,1.25,600
0.4858795598114826,0.5141204401885173,2.17,10
0.6779905297545102,0.32200947024548976,1.18,0
0.7981330648208083,0.20186693517919174,1.09,0
0.6143177675080156,0.3856822324919844,1.23,0
0.6751916965017635,0.32480830349823653,1.21,0
0.5452640944785265,0.45473590552147347,1.44,0
0.343968254834582,0.6560317451654181,1.43,140
0.22062317563778314,0.7793768243622169,1.4,360
0.6903272284795454,0.3096727715204546,1.16,0
0.7335648824881799,0.26643511751182014,1.16,0
0.5132971113730348,0.4867028886269652,1.62,0
0.7052085282973752,0.29479147170262476,1.15,0
0.3837510748481284,0.6162489251518716,2.13,100
0.43057618684096743,0.5694238131590326,1.75,50
0.50221207832618,0.49778792167382,1.72,0
0.8165944420460086,0.18340555795399138,1.08,0
0.8894988881616315,0.11050111183836853,1.03,0
0.8069485812030942,0.1930514187969058,1.09,0
0.5772694189149664,0.4227305810850336,1.38,0
0.34431534893995136,0.6556846510600487,1.83,160
0.6118532333376266,0.38814676666237335,1.3,0
0.5226952628829569,0.47730473711704313,1.52,0
0.3643672433478348,0.6356327566521651,1.77,120
0.3467190453025327,0.6532809546974673,1.79,130
0.802989395397391,0.197010604602609,1.08,0
0.5820654896885887,0.41793451031141127,1.26,0
0.5206749454834582,0.47932505451654184,1.62,0
0.6144493148018998,0.3855506851981002,1.29,0
0.6177859881658896,0.3822140118341104,1.27,0
0.8664347704873503,0.1335652295126497,1.02,0
0.5373637776878507,0.4626362223121493,1.42,0
0.25495550862475014,0.7450444913752499,1.48,300
0.7441851005255689,0.25581489947443115,1.11,0
0.8540655859264334,0.14593441407356655,1.05,0
0.7767676599086788,0.2232323400913212,1.08,0
0.6661920803528363,0.3338079196471637,1.22,0
0.2971640101870749,0.702835989812925,1.66,210
0.3233776685745669,0.6766223314254332,1.55,170
0.19020827777008817,0.8097917222299118,1.37,430
0.3683456172572158,0.6316543827427842,1.88,110
