dist_id,dist_label,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,dist_mean,dist_var,dist_skew,mean_tortuosity,std_tortuosity,mean_resistance,std_resistance,mean_fractal_dim,std_fractal_dim,mean_lateral_dev,std_lateral_dev,mean_zero_cost_ratio,n_runs,grid_H,grid_W
86,uniform_6to7,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,6.5,0.25,0.0,1.0001,0.0014,309.715,1.3501,0.945,0.0038,0.005,0.0707,0.0,200,50,100
87,uniform_6to8,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.333333,0.333333,0.0,0.0,7.0,0.6667,0.0,1.0026,0.0067,328.635,2.377,0.944,0.0112,0.13,0.3371,0.0,200,50,100
88,uniform_6to9,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0,7.5,1.25,0.0,1.0075,0.0111,347.095,3.1964,0.9448,0.0145,0.37,0.5427,0.0,200,50,100
89,uniform_6to10,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,8.0,2.0,0.0,1.0169,0.015,365.215,3.6033,0.9457,0.0236,0.775,0.6758,0.0,200,50,100
90,uniform_7to8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,7.5,0.25,0.0,1.0,0.0,358.825,1.3578,0.9453,0.0,0.0,0.0,0.0,200,50,100
91,uniform_7to9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.333333,0.333333,0.0,8.0,0.6667,0.0,1.0015,0.0053,377.52,2.3659,0.9456,0.0045,0.075,0.2641,0.0,200,50,100
92,uniform_7to10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,8.5,1.25,0.0,1.0052,0.0092,396.17,3.2502,0.9446,0.0129,0.26,0.462,0.0,200,50,100
93,uniform_8to9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,8.5,0.25,0.0,1.0,0.0,407.92,1.3501,0.9453,0.0,0.0,0.0,0.0,200,50,100
94,uniform_8to10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.333333,0.333333,9.0,0.6667,0.0,1.0003,0.0024,426.605,2.5967,0.9454,0.0007,0.015,0.1219,0.0,200,50,100
95,obstacles_p10=0.000,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,4.5,8.25,-0.0,1.3929,0.0999,110.665,5.7207,0.9948,0.061,9.03,3.6436,0.3486,200,50,100
